Jurkat_T_cell	Memory_T_cell	Naive_T_cell	Th17_T_cell
chr1_2838497_2838997	0	0	0	0
chr1_2949552_2950052	1	0	1	0
chr1_3088948_3089448	0	0	0	0
chr1_3125134_3125634	0	0	0	0
chr1_3183761_3184261	0	0	0	0
chr1_3194777_3195277	0	0	0	0
chr1_3206719_3207219	0	0	0	0
chr1_3212488_3212988	0	0	0	1
chr1_3233029_3233529	0	0	0	0
chr1_3341175_3341675	0	0	0	0
chr1_3369633_3370133	0	0	0	0
chr1_3407750_3408250	0	0	1	0
chr1_3447836_3448336	0	0	1	0
chr1_3528028_3528528	0	0	0	0
chr1_3535540_3536040	0	0	0	0
chr1_3541239_3541739	0	0	1	0
chr1_3566430_3566930	0	1	1	0
chr1_3612147_3612647	0	0	0	0
chr1_3663725_3664225	0	0	0	0
chr1_3688903_3689403	0	0	1	0
chr1_3692482_3692982	0	0	0	0
chr1_3712864_3713364	1	0	1	1
chr1_3773660_3774160	1	1	1	1
chr1_3816820_3817320	1	1	1	1
chr1_3827266_3827766	0	0	0	0
chr1_3838767_3839267	0	1	0	0
chr1_4076667_4077167	0	0	0	0
chr1_4388763_4389263	0	0	0	0
chr1_4556846_4557346	0	0	1	0
chr1_4665788_4666288	0	0	0	0
chr1_4671104_4671604	0	0	0	0
chr1_4714674_4715174	0	0	0	0
chr1_4741629_4742129	0	0	0	0
chr1_4838736_4839236	0	0	0	0
chr1_4841127_4841627	0	0	0	0
chr1_5449051_5449551	0	0	1	0
chr1_5541827_5542327	1	0	0	0
chr1_5720527_5721027	0	0	0	0
chr1_5769999_5770499	0	0	0	0
chr1_5805805_5806305	0	0	0	0
chr1_5911668_5912168	0	0	0	0
chr1_6014948_6015448	0	0	0	0
chr1_6035455_6035955	1	0	0	0
chr1_6052364_6052864	1	1	1	1
chr1_6054699_6055199	0	0	0	0
chr1_6086044_6086544	1	0	1	0
chr1_6087202_6087702	0	0	0	0
chr1_6088123_6088623	0	0	0	0
chr1_6101438_6101938	0	0	0	0
chr1_6112518_6113018	0	0	0	0
chr1_6168825_6169325	0	0	0	0
chr1_6187727_6188227	0	0	1	0
chr1_6201594_6202094	0	0	0	0
chr1_6208660_6209160	0	0	0	0
chr1_6245796_6246296	0	0	0	0
chr1_6259517_6260017	1	1	1	1
chr1_6265869_6266369	0	0	0	0
chr1_6295842_6296342	0	0	1	0
chr1_6306694_6307194	0	0	0	0
chr1_6319943_6320443	0	0	0	0
chr1_6368513_6369013	0	0	0	0
chr1_6376926_6377426	1	0	0	0
chr1_6403532_6404032	1	0	0	0
chr1_6407958_6408458	0	0	0	0
chr1_6418879_6419379	0	0	0	0
chr1_6419723_6420223	0	0	0	0
chr1_6425065_6425565	1	0	0	0
chr1_6453433_6453933	1	0	1	0
chr1_6464679_6465179	0	0	0	0
chr1_6483441_6483941	0	0	1	0
chr1_6498021_6498521	0	0	0	0
chr1_6520064_6520564	0	1	1	1
chr1_6526000_6526500	0	0	0	0
chr1_6535492_6535992	0	0	0	0
chr1_6546448_6546948	0	0	0	0
chr1_6549860_6550360	0	0	0	0
chr1_6557406_6557906	0	0	0	0
chr1_6614357_6614857	1	0	1	1
chr1_6639775_6640275	1	0	1	0
chr1_6661069_6661569	0	0	0	0
chr1_6663142_6663642	0	0	0	0
chr1_6673429_6673929	1	1	1	1
chr1_6684942_6685442	0	0	1	0
chr1_6730037_6730537	0	0	0	0
chr1_6761747_6762247	0	0	1	0
chr1_6780068_6780568	0	0	0	0
chr1_6787431_6787931	0	0	0	0
chr1_6844440_6844940	0	0	0	0
chr1_6845065_6845565	1	1	1	1
chr1_6928649_6929149	0	0	0	0
chr1_6944091_6944591	0	0	0	0
chr1_7022373_7022873	1	0	0	0
chr1_7102680_7103180	0	0	0	0
chr1_7535905_7536405	0	0	0	0
chr1_7727559_7728059	0	0	0	0
chr1_7729445_7729945	0	0	0	0
chr1_7764476_7764976	0	0	1	1
chr1_7831273_7831773	0	0	1	0
chr1_7843851_7844351	0	1	1	0
chr1_7945575_7946075	0	0	0	0
chr1_7974560_7975060	0	0	0	1
chr1_7980582_7981082	0	0	0	0
chr1_7990948_7991448	0	0	0	0
chr1_8002223_8002723	0	0	0	0
chr1_8009051_8009551	0	0	0	0
chr1_8014079_8014579	0	0	0	0
chr1_8021334_8021834	1	1	1	1
chr1_8042287_8042787	0	0	0	0
chr1_8086161_8086661	0	0	0	0
chr1_8187239_8187739	0	0	0	0
chr1_8212789_8213289	1	1	1	0
chr1_8229742_8230242	0	0	0	0
chr1_8242414_8242914	0	1	1	1
chr1_8257695_8258195	0	0	0	0
chr1_8324169_8324669	0	0	0	0
chr1_8377929_8378429	0	0	0	0
chr1_8408966_8409466	0	0	0	0
chr1_8467705_8468205	0	0	0	0
chr1_8469187_8469687	0	0	0	0
chr1_8484588_8485088	0	1	0	0
chr1_8491068_8491568	0	0	0	0
chr1_8497245_8497745	0	0	0	0
chr1_8523109_8523609	0	0	0	0
chr1_8532608_8533108	0	0	0	0
chr1_8570166_8570666	0	0	1	0
chr1_8576759_8577259	0	0	0	0
chr1_8585816_8586316	0	1	1	0
chr1_8621025_8621525	0	0	0	0
chr1_8761268_8761768	1	1	1	1
chr1_8877520_8878020	1	0	1	0
chr1_8889546_8890046	1	0	0	0
chr1_8907881_8908381	1	0	0	0
chr1_8919358_8919858	0	0	0	0
chr1_8920877_8921377	0	0	0	1
chr1_8922484_8922984	0	0	0	0
chr1_8938538_8939038	1	0	1	1
chr1_8958304_8958804	0	0	0	0
chr1_8959865_8960365	0	0	0	0
chr1_8978071_8978571	0	0	0	0
chr1_8988077_8988577	0	0	0	0
chr1_9031061_9031561	0	0	1	0
chr1_9065071_9065571	0	0	0	0
chr1_9182059_9182559	0	0	0	0
chr1_9189087_9189587	0	0	0	0
chr1_9202216_9202716	0	0	0	0
chr1_9263578_9264078	0	0	0	0
chr1_9294596_9295096	0	0	1	0
chr1_9299663_9300163	0	0	0	0
chr1_9327072_9327572	0	0	0	0
chr1_9335495_9335995	0	0	0	0
chr1_9339292_9339792	0	0	0	0
chr1_9352675_9353175	0	0	0	0
chr1_9470830_9471330	0	0	0	0
chr1_9486343_9486843	1	0	1	1
chr1_9488815_9489315	1	1	1	0
chr1_9499400_9499900	0	0	0	0
chr1_9515762_9516262	0	0	0	0
chr1_9551039_9551539	0	0	0	0
chr1_9599111_9599611	1	1	1	0
chr1_9619631_9620131	1	0	0	0
chr1_9648457_9648957	0	0	1	0
chr1_9649254_9649754	0	0	0	0
chr1_9675583_9676083	0	0	0	0
chr1_9686926_9687426	0	0	1	0
chr1_9689665_9690165	0	0	0	0
chr1_9712316_9712816	0	0	0	1
chr1_9747263_9747763	0	0	0	0
chr1_9749324_9749824	0	0	0	1
chr1_9764547_9765047	0	0	0	0
chr1_9777587_9778087	0	0	1	0
chr1_9784988_9785488	0	0	0	0
chr1_9788604_9789104	0	1	0	0
chr1_9844484_9844984	0	0	0	0
chr1_9847660_9848160	0	0	0	0
chr1_9883763_9884263	0	0	0	0
chr1_9927459_9927959	0	0	1	0
chr1_9934853_9935353	0	0	1	0
chr1_9960744_9961244	0	0	0	0
chr1_9970234_9970734	1	1	1	1
chr1_10002347_10002847	0	0	0	0
chr1_10003213_10003713	0	0	0	0
chr1_10010297_10010797	0	0	1	1
chr1_10056934_10057434	0	0	0	0
chr1_10092707_10093207	1	1	1	1
chr1_10270247_10270747	1	1	1	1
chr1_10313696_10314196	0	0	0	0
chr1_10331135_10331635	0	0	0	0
chr1_10448153_10448653	0	0	0	0
chr1_10458578_10459078	1	1	1	1
chr1_10488062_10488562	1	0	0	0
chr1_10490187_10490687	0	0	1	0
chr1_10532377_10532877	1	0	1	1
chr1_10534699_10535199	0	0	0	0
chr1_10554840_10555340	0	0	0	0
chr1_10567392_10567892	0	0	0	0
chr1_10571030_10571530	1	0	1	0
chr1_10633939_10634439	0	0	0	0
chr1_10739623_10740123	0	0	0	0
chr1_10752385_10752885	0	0	0	0
chr1_10754598_10755098	0	0	0	0
chr1_10815924_10816424	0	0	0	0
chr1_10854433_10854933	0	0	0	1
chr1_10969897_10970397	0	0	0	0
chr1_10977891_10978391	1	0	0	0
chr1_10992058_10992558	0	0	0	0
chr1_10997387_10997887	0	0	0	0
chr1_11072522_11073022	1	1	1	1
chr1_11097605_11098105	1	0	1	0
chr1_11114569_11115069	0	0	0	1
chr1_11119954_11120454	0	0	1	0
chr1_11141395_11141895	0	0	0	0
chr1_11151352_11151852	0	0	0	0
chr1_11159710_11160210	0	0	1	0
chr1_11192880_11193380	0	0	0	0
chr1_11301688_11302188	0	0	0	0
chr1_11306078_11306578	0	0	0	0
chr1_11322490_11322990	1	1	1	1
chr1_11332810_11333310	0	0	0	0
chr1_11341008_11341508	0	0	0	0
chr1_11397481_11397981	0	0	0	0
chr1_11467284_11467784	0	0	0	0
chr1_11538828_11539328	0	0	0	0
chr1_11705671_11706171	0	0	0	0
chr1_11710352_11710852	0	0	1	0
chr1_11724000_11724500	0	0	0	1
chr1_11741105_11741605	1	0	1	0
chr1_11771094_11771594	0	0	0	0
chr1_11779496_11779996	0	0	1	0
chr1_11790336_11790836	0	0	0	0
chr1_11795859_11796359	0	0	1	0
chr1_11809138_11809638	0	0	0	0
chr1_11863453_11863953	0	0	0	0
chr1_11866043_11866543	1	1	1	1
chr1_11898650_11899150	0	0	0	0
chr1_11902228_11902728	0	0	0	0
chr1_11911158_11911658	0	0	0	0
chr1_11919260_11919760	0	0	0	0
chr1_11925529_11926029	0	0	0	0
chr1_11953930_11954430	0	0	0	0
chr1_11968265_11968765	1	1	1	0
chr1_11969450_11969950	1	0	0	0
chr1_11986346_11986846	0	1	1	0
chr1_11994413_11994913	1	0	1	0
chr1_12040077_12040577	1	0	1	1
chr1_12072299_12072799	0	0	0	0
chr1_12079273_12079773	1	1	1	1
chr1_12123081_12123581	0	0	0	0
chr1_12148588_12149088	1	0	0	0
chr1_12178554_12179054	0	0	0	0
chr1_12184785_12185285	0	0	0	0
chr1_12192805_12193305	0	0	0	0
chr1_12213229_12213729	0	0	0	0
chr1_12221764_12222264	0	0	1	0
chr1_12233649_12234149	0	0	1	0
chr1_12237851_12238351	0	1	1	1
chr1_12238980_12239480	0	0	1	0
chr1_12256326_12256826	0	0	0	0
chr1_12267790_12268290	0	0	0	1
chr1_12268873_12269373	0	0	1	0
chr1_12270561_12271061	0	0	0	0
chr1_12289803_12290303	0	0	1	0
chr1_12308111_12308611	0	0	0	0
chr1_12326220_12326720	1	0	0	0
chr1_12399814_12400314	0	0	0	0
chr1_12467418_12467918	0	0	0	0
chr1_12494198_12494698	0	0	0	0
chr1_12509411_12509911	0	0	1	1
chr1_12532818_12533318	0	0	0	0
chr1_12538611_12539111	0	0	0	0
chr1_12540905_12541405	0	0	0	0
chr1_12570570_12571070	0	0	1	1
chr1_12628001_12628501	0	0	0	0
chr1_12661270_12661770	0	0	0	0
chr1_12664302_12664802	0	0	0	0
chr1_12678105_12678605	0	0	1	0
chr1_12679801_12680301	0	0	0	0
chr1_12718925_12719425	0	0	0	0
chr1_13795738_13796238	0	0	0	0
chr1_13805927_13806427	1	0	0	0
chr1_13813775_13814275	1	0	0	0
chr1_13824907_13825407	1	0	0	0
chr1_13865300_13865800	0	0	0	0
chr1_13992143_13992643	0	0	0	0
chr1_14026479_14026979	0	0	0	0
chr1_14029175_14029675	0	1	1	0
chr1_14050200_14050700	0	0	0	0
chr1_14057200_14057700	0	1	1	1
chr1_14063958_14064458	0	0	0	0
chr1_14075630_14076130	0	0	0	1
chr1_14127386_14127886	0	0	0	0
chr1_14137617_14138117	0	0	0	0
chr1_14155102_14155602	0	0	0	0
chr1_14174050_14174550	0	0	0	0
chr1_14493726_14494226	0	0	0	0
chr1_14520763_14521263	0	0	0	0
chr1_14571049_14571549	0	0	0	0
chr1_14618975_14619475	1	0	0	0
chr1_14647423_14647923	1	0	0	0
chr1_14667658_14668158	0	0	0	0
chr1_14839023_14839523	0	0	0	0
chr1_14953656_14954156	0	0	0	0
chr1_14965133_14965633	0	0	0	0
chr1_15266341_15266841	0	0	0	0
chr1_15295477_15295977	1	0	0	0
chr1_15393444_15393944	0	0	0	0
chr1_15426940_15427440	0	0	0	0
chr1_15443935_15444435	0	0	0	0
chr1_15455003_15455503	1	0	0	0
chr1_15478727_15479227	0	0	0	0
chr1_15575441_15575941	0	0	0	0
chr1_15587863_15588363	0	0	0	0
chr1_15649921_15650421	0	0	0	0
chr1_15666715_15667215	0	0	0	0
chr1_15672229_15672729	0	0	0	0
chr1_15712550_15713050	0	0	0	0
chr1_15735931_15736431	0	0	1	0
chr1_15743862_15744362	0	0	0	1
chr1_15756213_15756713	0	0	0	0
chr1_15827991_15828491	0	0	0	1
chr1_15851002_15851502	1	1	1	0
chr1_15852886_15853386	1	0	1	1
chr1_15904086_15904586	0	0	0	0
chr1_15921490_15921990	0	0	0	0
chr1_15929936_15930436	0	0	1	0
chr1_15943607_15944107	1	1	1	1
chr1_16023503_16024003	0	0	1	0
chr1_16067807_16068307	0	0	0	0
chr1_16141959_16142459	0	0	0	0
chr1_16161010_16161510	0	0	1	0
chr1_16162267_16162767	1	0	1	0
chr1_16173884_16174384	1	0	1	0
chr1_16202587_16203087	0	0	0	1
chr1_16212723_16213223	0	0	0	0
chr1_16242400_16242900	0	0	0	0
chr1_16276058_16276558	0	0	0	0
chr1_16277258_16277758	0	0	0	0
chr1_16279173_16279673	0	0	0	0
chr1_16292430_16292930	0	0	0	0
chr1_16302160_16302660	1	0	1	0
chr1_16335433_16335933	0	0	0	0
chr1_16374727_16375227	0	0	0	0
chr1_16380545_16381045	1	0	0	0
chr1_16382495_16382995	0	0	1	0
chr1_16399901_16400401	0	0	0	0
chr1_16405319_16405819	0	0	0	0
chr1_16494276_16494776	0	0	0	0
chr1_16514179_16514679	0	0	0	0
chr1_16533103_16533603	1	0	1	1
chr1_16542598_16543098	0	0	0	0
chr1_16543768_16544268	0	1	1	0
chr1_16562673_16563173	1	0	1	0
chr1_16563420_16563920	0	0	0	0
chr1_16570825_16571325	0	0	0	0
chr1_16575243_16575743	1	0	0	0
chr1_16597532_16598032	0	0	0	0
chr1_16678841_16679341	1	0	1	1
chr1_16693716_16694216	1	1	1	1
chr1_16747180_16747680	0	0	0	0
chr1_16766890_16767390	1	0	1	0
chr1_16767457_16767957	0	0	1	0
chr1_16825484_16825984	0	0	1	1
chr1_16918137_16918637	0	0	0	0
chr1_16939963_16940463	1	0	0	0
chr1_16947445_16947945	0	0	0	0
chr1_16951356_16951856	0	0	0	0
chr1_16970993_16971493	0	0	1	0
chr1_17003244_17003744	0	0	0	0
chr1_17004425_17004925	1	0	0	0
chr1_17036181_17036681	0	0	0	0
chr1_17053591_17054091	0	0	0	0
chr1_17222369_17222869	1	0	1	0
chr1_17231462_17231962	1	1	1	1
chr1_17240213_17240713	1	0	1	0
chr1_17248148_17248648	0	0	0	0
chr1_17278095_17278595	0	0	0	0
chr1_17287105_17287605	0	0	0	0
chr1_17304656_17305156	0	0	0	1
chr1_17338254_17338754	0	0	1	0
chr1_17372410_17372910	0	0	0	0
chr1_17380421_17380921	1	1	1	1
chr1_17386064_17386564	0	0	0	0
chr1_17401867_17402367	0	0	0	0
chr1_17445771_17446271	0	0	0	0
chr1_17508402_17508902	1	0	0	0
chr1_17563468_17563968	0	0	0	0
chr1_17638787_17639287	0	0	0	0
chr1_17763784_17764284	0	0	0	0
chr1_17766138_17766638	0	0	0	0
chr1_17820670_17821170	0	0	0	0
chr1_17828702_17829202	0	0	0	0
chr1_17907720_17908220	0	0	0	0
chr1_17941697_17942197	0	0	0	0
chr1_17956387_17956887	0	0	0	0
chr1_17962174_17962674	0	0	0	0
chr1_18011383_18011883	0	0	0	0
chr1_18041701_18042201	0	0	0	0
chr1_18248406_18248906	0	0	0	0
chr1_18346573_18347073	0	0	0	0
chr1_18396363_18396863	0	0	0	0
chr1_18437511_18438011	0	0	0	0
chr1_18582751_18583251	0	0	0	0
chr1_18779014_18779514	0	0	0	0
chr1_18865589_18866089	0	0	0	0
chr1_18971639_18972139	0	0	0	0
chr1_19007807_19008307	0	0	0	0
chr1_19075934_19076434	0	0	0	0
chr1_19090266_19090766	0	0	0	0
chr1_19144886_19145386	0	0	0	0
chr1_19210548_19211048	0	0	0	0
chr1_19228984_19229484	1	0	1	1
chr1_19239492_19239992	0	0	0	0
chr1_19253064_19253564	0	0	1	0
chr1_19274818_19275318	0	0	0	0
chr1_19278491_19278991	0	0	1	0
chr1_19282982_19283482	0	0	1	0
chr1_19337707_19338207	0	0	0	0
chr1_19354434_19354934	0	0	0	0
chr1_19400909_19401409	0	0	1	0
chr1_19407658_19408158	0	0	0	0
chr1_19506165_19506665	1	1	0	0
chr1_19536620_19537120	1	0	1	0
chr1_19567777_19568277	0	0	0	0
chr1_19577923_19578423	1	1	1	0
chr1_19638393_19638893	0	0	0	0
chr1_19667887_19668387	1	0	0	0
chr1_19700757_19701257	0	0	0	0
chr1_19717525_19718025	1	1	1	1
chr1_19732606_19733106	1	0	0	0
chr1_19766253_19766753	0	0	0	0
chr1_19777667_19778167	0	0	0	0
chr1_19789604_19790104	0	0	0	0
chr1_19794791_19795291	0	0	0	0
chr1_19795866_19796366	0	0	0	0
chr1_19803295_19803795	1	0	0	0
chr1_19811312_19811812	0	0	0	0
chr1_19812072_19812572	0	1	1	1
chr1_19832183_19832683	0	0	0	0
chr1_19883639_19884139	0	0	0	0
chr1_19906419_19906919	0	0	0	0
chr1_19908685_19909185	0	0	0	0
chr1_19923114_19923614	1	1	1	1
chr1_19923993_19924493	0	0	1	0
chr1_19933149_19933649	0	0	1	0
chr1_19970536_19971036	0	0	0	0
chr1_19977566_19978066	0	0	0	0
chr1_19980195_19980695	0	0	1	0
chr1_19986210_19986710	0	0	0	0
chr1_20014469_20014969	0	0	0	0
chr1_20042011_20042511	1	0	0	0
chr1_20106909_20107409	0	0	0	0
chr1_20116901_20117401	0	0	0	0
chr1_20125929_20126429	0	0	0	0
chr1_20137675_20138175	0	0	0	0
chr1_20208546_20209046	1	0	1	1
chr1_20384952_20385452	0	0	0	0
chr1_20478568_20479068	0	0	0	0
chr1_20497940_20498440	0	0	0	0
chr1_20511799_20512299	0	0	0	0
chr1_20512861_20513361	0	0	0	0
chr1_20521599_20522099	0	0	0	0
chr1_20575483_20575983	0	0	0	0
chr1_20649536_20650036	0	0	0	0
chr1_20669684_20670184	0	0	0	0
chr1_20703255_20703755	0	0	0	0
chr1_20767239_20767739	0	0	1	0
chr1_20820228_20820728	0	0	0	0
chr1_20834198_20834698	0	0	0	0
chr1_20848690_20849190	0	0	0	0
chr1_20901674_20902174	0	0	0	0
chr1_20959697_20960197	0	0	0	0
chr1_20960252_20960752	1	0	0	0
chr1_20960924_20961424	0	0	0	0
chr1_20966581_20967081	0	0	0	0
chr1_20987796_20988296	1	1	1	1
chr1_20993355_20993855	0	0	0	0
chr1_21023053_21023553	1	0	1	0
chr1_21058483_21058983	0	0	0	0
chr1_21059411_21059911	0	0	0	0
chr1_21113129_21113629	1	0	1	1
chr1_21348701_21349201	0	0	0	0
chr1_21446740_21447240	0	0	0	0
chr1_21503236_21503736	1	0	1	0
chr1_21581660_21582160	0	0	0	0
chr1_21588212_21588712	0	0	0	0
chr1_21596606_21597106	0	0	0	0
chr1_21616215_21616715	0	0	0	0
chr1_21620917_21621417	0	1	1	1
chr1_21650917_21651417	0	0	0	0
chr1_21660571_21661071	1	0	1	1
chr1_21671866_21672366	0	1	0	0
chr1_21766314_21766814	0	0	0	0
chr1_21817304_21817804	0	0	0	0
chr1_21835456_21835956	0	0	0	0
chr1_21861187_21861687	0	0	0	0
chr1_21952142_21952642	1	0	0	0
chr1_21958634_21959134	1	0	0	0
chr1_21974378_21974878	0	0	0	0
chr1_21985611_21986111	0	0	1	0
chr1_21995610_21996110	0	0	0	0
chr1_22109683_22110183	1	1	1	0
chr1_22145070_22145570	0	0	0	0
chr1_22263740_22264240	0	0	0	0
chr1_22283591_22284091	0	0	0	1
chr1_22290315_22290815	0	0	0	0
chr1_22345444_22345944	0	0	1	0
chr1_22350849_22351349	0	0	1	0
chr1_22351776_22352276	1	1	1	0
chr1_22366226_22366726	1	1	1	1
chr1_22378880_22379380	1	0	1	1
chr1_22379945_22380445	0	0	0	0
chr1_22401998_22402498	0	0	0	0
chr1_22418792_22419292	0	0	0	0
chr1_22431333_22431833	0	0	0	0
chr1_22432115_22432615	0	0	0	0
chr1_22491484_22491984	0	0	0	0
chr1_22589033_22589533	1	0	0	0
chr1_22602282_22602782	0	0	0	0
chr1_22725185_22725685	0	0	0	0
chr1_22736411_22736911	0	0	1	0
chr1_22746877_22747377	0	0	0	0
chr1_22778179_22778679	1	0	1	1
chr1_22968437_22968937	0	0	0	0
chr1_22988767_22989267	1	0	0	0
chr1_23037050_23037550	0	0	0	0
chr1_23043622_23044122	0	0	0	0
chr1_23140887_23141387	0	0	0	0
chr1_23161338_23161838	0	0	0	0
chr1_23181206_23181706	0	0	0	0
chr1_23223692_23224192	0	0	0	0
chr1_23302810_23303310	0	0	0	0
chr1_23345609_23346109	0	0	1	0
chr1_23425173_23425673	0	0	0	0
chr1_23445560_23446060	0	0	0	0
chr1_23474456_23474956	0	0	0	0
chr1_23495092_23495592	1	0	0	0
chr1_23503935_23504435	0	0	0	0
chr1_23660577_23661077	0	0	0	0
chr1_23670668_23671168	1	1	1	1
chr1_23694635_23695135	1	1	1	1
chr1_23695169_23695669	1	0	1	0
chr1_23719807_23720307	0	0	0	0
chr1_23730359_23730859	0	0	0	0
chr1_23748673_23749173	1	0	0	0
chr1_23767492_23767992	0	0	0	0
chr1_23778380_23778880	0	0	0	0
chr1_23810886_23811386	1	1	1	1
chr1_23823486_23823986	0	0	1	0
chr1_23851524_23852024	0	0	0	0
chr1_23854987_23855487	0	0	0	0
chr1_23857659_23858159	0	0	1	0
chr1_23866239_23866739	1	1	1	1
chr1_23881210_23881710	0	0	1	0
chr1_23885821_23886321	0	0	1	0
chr1_23888730_23889230	0	0	0	0
chr1_23927428_23927928	1	0	0	0
chr1_23938401_23938901	0	0	0	0
chr1_23939571_23940071	1	0	0	0
chr1_23945965_23946465	0	0	1	1
chr1_23954341_23954841	0	0	0	0
chr1_23961407_23961907	0	0	0	0
chr1_23963823_23964323	0	0	0	0
chr1_23994422_23994922	0	0	0	0
chr1_23999522_24000022	0	0	0	0
chr1_24018100_24018600	1	1	1	0
chr1_24069672_24070172	0	0	0	0
chr1_24077737_24078237	0	0	0	0
chr1_24083405_24083905	0	0	1	0
chr1_24098551_24099051	0	0	0	0
chr1_24104383_24104883	0	0	1	0
chr1_24117335_24117835	1	0	1	0
chr1_24119816_24120316	0	0	0	0
chr1_24127093_24127593	0	1	1	0
chr1_24136139_24136639	0	0	0	0
chr1_24137196_24137696	0	0	0	0
chr1_24151741_24152241	1	0	0	0
chr1_24164879_24165379	0	0	1	0
chr1_24180974_24181474	0	0	0	0
chr1_24194600_24195100	1	0	1	0
chr1_24222946_24223446	1	0	0	0
chr1_24224037_24224537	0	0	0	0
chr1_24243254_24243754	0	0	0	0
chr1_24397271_24397771	0	0	0	0
chr1_24476885_24477385	1	0	0	0
chr1_24513573_24514073	0	0	0	0
chr1_24516547_24517047	0	0	0	0
chr1_24525702_24526202	0	0	0	0
chr1_24528282_24528782	0	0	0	0
chr1_24648062_24648562	0	0	0	0
chr1_24711634_24712134	0	0	0	0
chr1_24717697_24718197	0	0	0	0
chr1_24741907_24742407	1	1	1	1
chr1_24743268_24743768	0	0	0	0
